id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5805,Avalanche,AVAX,avalanche,747,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,393403862.3451282,442750232.3451282,False,,11,,,,2024-06-20T19:19:00.000Z,27.638256260495297,300060698.70141196,27.7589,-0.2443777,1.92706156,-12.96054097,-32.12739796,-25.124738,-48.19694731,10872996761.363268,0.4593,19782046513.84,,2024-06-20T19:19:00.000Z,,,,,,2024-06-20 13:21:10.791599
5994,Shiba Inu,SHIB,shiba-inu,833,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589271335726788.2,589519783884500.8,False,,12,,,,2024-06-20T19:19:00.000Z,1.8196657179835195e-05,323784897.9654317,-9.509,0.09547006,-0.25487594,-15.22386246,-28.93553332,-29.56343142,-30.97391028,10722768482.123938,0.453,10727289408.08,,2024-06-20T19:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-06-20 13:21:10.791599
1958,TRON,TRX,tron,992,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87252537966.36618,87252547568.65753,True,,13,71659659264.0,8371126691.568785,,2024-06-20T19:19:00.000Z,0.1168178411333059,224738713.4723717,-10.6985,0.0755807,0.44529266,0.20695465,-5.37648515,5.14889569,0.39932956,10192653118.632706,0.4306,10192654240.35,,2024-06-20T19:19:00.000Z,,,,,,2024-06-20 13:21:10.791599
1975,Chainlink,LINK,chainlink,1796,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",,587099970.4527867,1000000000.0,False,,14,,,,2024-06-20T19:19:00.000Z,14.471446227684286,275507203.76584667,-9.9591,0.49529858,0.30767056,-6.28729028,-13.310573,-1.95201328,-19.21460156,8496185652.682535,0.3589,14471446227.68,,2024-06-20T19:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-06-20 13:21:10.791599
6636,Polkadot,DOT,polkadot-new,784,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1437953431.368154,1437953431.368154,True,,15,1459479318.5752957,8350925630.430642,,2024-06-20T19:20:00.000Z,5.7218526663211575,163069961.10776865,-15.8414,0.21530134,-2.0601001,-11.60310791,-24.61722126,-19.15304302,-35.29633242,8227757675.31953,0.3475,8227757675.32,,2024-06-20T19:20:00.000Z,,,,,,2024-06-20 13:21:10.791599
1831,Bitcoin Cash,BCH,bitcoin-cash,896,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19722037.5,19722037.5,False,,16,,,,2024-06-20T19:19:00.000Z,392.1744182525742,231820947.96906146,2.6552,0.08347061,0.73811241,-10.79128828,-23.93554112,-21.69508095,-3.87748503,7734478583.317952,0.3267,8235662783.3,,2024-06-20T19:19:00.000Z,,,,,,2024-06-20 13:21:10.791599
7083,Uniswap,UNI,uniswap,1046,2020-09-17T00:00:00.000Z,"['decentralized-exchange-dex-token', 'defi', 'dao', 'yield-farming', 'amm', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'governance', 'blockchain-capital-portfolio', 'defiance-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'parafi-capital', 'paradigm-portfolio', 'arbitrum-ecosytem', 'injective-ecosystem', 'optimism-ecosystem', 'cmc-crypto-awards-2024']",,599957294.71,1000000000.0,False,,17,,,1.16783014,2024-06-20T19:19:00.000Z,10.125230967731905,201622763.29063424,-28.8962,0.58573802,0.89815895,-0.03141455,7.82981085,31.88596139,-13.07730338,6074706179.71435,0.2566,10125230967.73,5201703562.71899,2024-06-20T19:19:00.000Z,1027.0,Ethereum,ETH,ethereum,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,2024-06-20 13:21:10.791599
6535,NEAR Protocol,NEAR,near-protocol,422,2020-08-11T00:00:00.000Z,"['platform', 'ai-big-data', 'staking', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'arrington-xrp-capital-portfolio', 'coinfund-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'kenetic-capital-portfolio', 'near-protocol-ecosystem', 'cross-chain', 'injective-ecosystem', 'circle-ventures-portfolio', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'account-abstraction', 'data-availability']",,1090200784.0,1196529576.0,False,,18,,,,2024-06-20T19:20:00.000Z,5.333940090126942,407793237.61719996,25.8002,0.98527346,6.70938288,-12.16670327,-32.04873089,-12.83415728,-15.81675139,5815065668.065422,0.2457,6382217074.45,,2024-06-20T19:20:00.000Z,,,,,,2024-06-20 13:21:10.791599
3890,Polygon,MATIC,polygon,1406,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",,9905027806.594213,10000000000.0,False,,19,,,,2024-06-20T19:19:00.000Z,0.5797949073615534,235126472.99277478,-4.631,-0.10622937,0.60216149,-5.39389148,-20.29592346,-18.34537,-40.31082819,5742884679.537902,0.2426,5797949073.62,,2024-06-20T19:19:00.000Z,,,,,,2024-06-20 13:21:10.791599
2,Litecoin,LTC,litecoin,1203,2013-04-28T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange']",84000000.0,74663568.6075049,84000000.0,False,,20,,,,2024-06-20T19:20:00.000Z,74.71908252035014,323000826.4770781,1.1653,0.29797802,0.73746191,-6.05735454,-15.29739937,-10.75435032,-9.81866632,5578793344.047983,0.2356,6276402931.71,,2024-06-20T19:20:00.000Z,,,,,,2024-06-20 13:21:10.791599
